Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
San Andreas,-121.4225,36.7718,XHR (Harris Ranch),12.94,0.37,Int,CM,1985.3,2020.7,35.4,17,,,Yes,Yes
San Andreas,-120.4198,35.8625,XHS (Hearst Southwest),-0.72,0.07,Int,CM,1987.5,2010.4,22.9,17,Probably,,Yes,No
San Andreas,-120.7976,36.217,XMP (Monarch Peak),14.71,0.3,Int,CM,1969.4,1997.5,28.1,17,,,Yes,Yes
San Andreas,-121.187,36.5933,XMR (Melendy Ranch),17.39,0.2,Int,CM,1969.4,2020.7,51.3,17,,,Yes,Yes
San Andreas,-119.6911,35.149,XPH (Panorama Hills),-0.09,0.01,Int,CM,1977.7,1991.9,14.2,17,,,Yes,Yes
San Andreas,-120.4601,35.9052,XRS (Roberson Southwest),-0.01,0.03,Int,CM,1987.4,2005.7,18.3,17,Probably,,Yes,No
San Andreas,-120.63,36.07,XSC1,22.1,Undf.,Int,CM,1972,1987,15.0,2,maybe,,No,No
San Andreas,-121.5214,36.836,XSJ (San Juan Bautista),8.57,0.23,Int,CM,1969.4,2016.9,47.5,17,,,Yes,Yes
Green Valley,-122.1495,38.1986,,4.4,0.1,Int,AA,1984,2001,17.0,5,,,No,Yes
Hayward,-122.2506,37.8719,,4.6,0.1,Int,AA,1966.912,1999.658,32.7,8,,,No,Yes
Hayward,-122.0899,37.6798,,5,0.1,Int,AA,1967.167,1999.83,32.7,8,,,No,Yes
Hayward,-122.3546,37.9891,,5,0.1,Int,AA,1968.333,1993.058,24.7,8,,,No,Yes
Hayward,-122.1975,37.8101,,3.7,0.1,Int,AA,1970.29,1999.696,29.4,8,,,No,Yes
Hayward,-122.2304,37.8484,,3.8,0.1,Int,AA,1974.258,1999.696,25.4,8,,,No,Yes
Hayward,-122.0804,37.6703,,4.4,0.1,Int,AA,1980.478,1999.83,19.4,8,,,No,Yes
Hayward,-122.0008,37.5925,,5.1,0.2,Int,AA,1979.729,1999.83,20.1,8,,,No,Yes
Hayward,-122.3379,37.969,,4.8,0.2,Int,AA,1980.609,1999.89,19.3,8,,,No,Yes
Hayward,-122.209,37.8264,,3.7,0.2,Int,AA,1993.112,1999.89,6.8,8,,,No,Yes
Hayward,-122.1882,37.7951,,3.6,0.3,Int,AA,1974.274,1999.66,25.4,8,,,No,Yes
Hayward,-121.9607,37.5422,,5.6,0.3,Int,AA,1979.726,1989.808,10.1,8,,,No,Yes
Hayward,-122.2918,37.9246,,4.4,0.3,Int,AA,1989.748,1999.868,10.1,8,,,No,Yes
Hayward,-122.3083,37.9425,,4.9,0.4,Int,AA,1989.748,1999.677,9.9,8,,,No,Yes
Hayward,-122.1504,37.7546,,3.7,0.5,Int,AA,1989.693,1999.888,10.2,8,,,No,Yes
Hayward,-122.1285,37.7319,,5.9,0.5,Int,AA,1993.389,1999.679,6.3,8,,,No,Yes
Hayward,-122.0579,37.6481,,6.7,0.5,Int,AA,1994.589,1999.677,5.1,8,,,No,Yes
Hayward,-122.0727,37.6627,,4,0.6,Int,AA,1977.074,1999.677,22.6,8,,,No,Yes
Hayward,-122.0222,37.6143,,5.1,0.7,Int,AA,1994.592,1999.696,5.1,8,,,No,Yes
Hayward,-122.1045,37.695,,5.5,0.9,Int,AA,1992.62,1999.66,7.0,8,,,No,Yes
Hayward,-121.9797,37.5664,,6,1.3,Int,AA,1983.759,1988.847,5.1,8,,,No,Yes
Hayward,-121.9316,37.5097,,8.2,0.4,Int,Cult,1968.7,1982.3,13.6,8,,,No,Yes
Hayward,-121.9548,37.5361,,8.9,0.6,Int,Cult,1940.3,1987.636,47.3,8,,,No,Yes
Hayward,-121.9343,37.5125,,9.5,0.6,Int,Cult,1967.7,1987.636,19.9,8,,,No,Yes
Bartlett Springs,-122.768,39.234,,0.268,0.93,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.532,39.038,,0.517,0.962,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.833,39.304,,-0.428,1.171,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.623,39.107,,1.776,1.369,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.899,39.378,,-2.381,1.95,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.959,39.454,,-0.123,2.04,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.692,39.17,,-4.98,2.055,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-123.02,39.533,,6.946,4.026,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.266,36.697,,-0.533,1.552,Int,SAR,2006,2010,3.5,23,Yes,,No,No
Calaveras,-121.656,37.238,,-3.419,1.843,Int,SAR,2006,2010,3.5,23,Yes,,No,No
Calaveras,-121.902,37.64,,-2.585,2.477,Int,SAR,2006,2010,3.5,23,Yes,,No,No
Calaveras,-121.712,37.315,,-3.855,4.634,Int,SAR,2006,2010,3.5,23,Yes,,No,No
Calaveras,-121.819,37.473,,-4.378,5.807,Int,SAR,2006,2010,3.5,23,Yes,,No,No
Calaveras,-121.598,37.161,,9.22,1.458,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.339,36.766,,0.427,1.598,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.768,37.392,,4.576,1.833,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.945,37.721,,4.922,1.95,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.396,36.842,,5.19,2.051,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.189,36.628,,7.42,2.063,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.483,37.005,,7.157,2.284,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.538,37.084,,25.304,2.426,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.859,37.557,,14.671,6.272,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.436,36.924,,8.88,11.067,Int,SAR,2006,2010,3.5,23,,,No,No
Concord,-122.036,37.972,,1.738,5.099,Int,SAR,2006,2010,3.5,23,,,No,No
Garlock,-117.456,35.504,,-0.32,0.055,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.112,35.19,,-0.025,0.077,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-116.81,35.596,,-0.088,0.091,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-116.59,35.591,,0.068,0.092,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-116.92,35.604,,-0.36,0.097,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.665,35.449,,0.548,0.15,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.349,35.526,,0.302,0.187,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.136,35.575,,0.516,0.19,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.029,35.595,,-0.702,0.21,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.242,35.551,,1.583,0.219,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.561,35.477,,0.467,0.252,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.766,35.412,,0.042,0.255,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.203,35.145,,0.518,0.261,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.578,34.965,,-0.619,0.305,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.296,35.098,,-1.688,0.419,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.386,35.044,,-0.349,0.477,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-116.7,35.593,,-0.869,0.483,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.867,34.826,,0.448,0.532,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.771,34.881,,0.954,0.543,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.676,34.924,,0.366,0.572,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.025,35.246,,0.073,0.593,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-118.479,34.995,,1.717,0.609,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.86,35.368,,0.255,1.099,Int,SAR,2006,2010,3.5,23,,,Yes,No
Garlock,-117.944,35.309,,-2.065,2.262,Int,SAR,2006,2010,3.5,23,,,Yes,No
Hayward,-122.21,37.821,,3.554,0.297,Int,SAR,2006,2010,3.5,23,,,No,No
Hayward,-122.083,37.673,,2.907,0.528,Int,SAR,2006,2010,3.5,23,,,No,No
Hayward,-122.143,37.746,,1.291,0.586,Int,SAR,2006,2010,3.5,23,,,No,No
Hayward,-122.27,37.896,,4.91,0.718,Int,SAR,2006,2010,3.5,23,,,No,No
Hayward,-122.012,37.601,,2.505,0.946,Int,SAR,2006,2010,3.5,23,,,No,No
Hayward,-121.949,37.526,,5.708,1.137,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.191,39.181,,3.014,1.027,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-122.993,38.859,,-1.683,1.067,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.143,39.1,,2.749,1.301,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.557,39.744,,-0.966,1.532,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.095,39.018,,2.445,1.547,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.502,39.665,,0.2,1.696,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-122.922,38.786,,4.794,1.988,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.305,39.339,,0.846,2.7,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.248,39.26,,-7.65,2.828,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.451,39.584,,-13.417,3.456,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.048,38.937,,8.481,5.452,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.353,39.42,,-6.367,6.17,Int,SAR,2006,2010,3.5,23,,,No,No
Maacama,-123.401,39.502,,-8.432,6.456,Int,SAR,2006,2010,3.5,23,,,No,No
Rodgers Creek,-122.712,38.465,,3.222,1.252,Int,SAR,2006,2010,3.5,23,,,No,No
Rodgers Creek,-122.594,38.313,,-3.24,1.706,Int,SAR,2006,2010,3.5,23,,,No,No
Rodgers Creek,-122.52,38.242,,-2.919,1.955,Int,SAR,2006,2010,3.5,23,,,No,No
Rodgers Creek,-122.654,38.387,,2.083,2.017,Int,SAR,2006,2010,3.5,23,,,No,No
Rodgers Creek,-122.449,38.17,,3.851,3.335,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.935,36.346,,18.891,1.152,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-120.862,36.28,,24.352,1.965,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-120.645,36.077,,26.096,2.101,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-121.006,36.419,,20.71,3.553,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-120.79,36.206,,19.429,3.77,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-120.719,36.146,,28.821,3.81,Int,SAR,2006,2010,3.5,23,maybe,,No,No
San Andreas,-120.294,35.738,,2.143,0.963,Int,SAR,2006,2010,3.5,23,Probably,,No,No
San Andreas,-120.418,35.88,,14.159,1.672,Int,SAR,2006,2010,3.5,23,Probably,,No,No
San Andreas,-120.493,35.948,,26.732,1.783,Int,SAR,2006,2010,3.5,23,Probably,,No,No
San Andreas,-120.569,36.011,,30.67,3.531,Int,SAR,2006,2010,3.5,23,Probably,,No,No
San Andreas,-120.355,35.823,,-5.286,3.173,Int,SAR,2006,2010,3.5,23,Yes,,No,No
San Andreas,-117.888,34.457,,-0.901,0.103,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.255,33.796,,0.139,0.138,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.985,34.498,,0.056,0.241,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.026,33.608,,4.076,0.241,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.492,34.998,,-1.631,0.274,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.336,33.856,,0.876,0.298,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.181,34.578,,-0.798,0.304,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.223,34.151,,0.013,0.326,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.998,34.824,,-1.012,0.345,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.6,34.013,,-0.598,0.393,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.422,33.907,,0.939,0.396,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.508,33.962,,-0.618,0.41,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.211,34.86,,0.298,0.413,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.105,34.846,,1.344,0.444,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.319,34.194,,0.346,0.505,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.082,34.539,,-1.64,0.509,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.224,35.667,,1.856,0.522,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.642,36.919,,2.192,0.524,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.121,34.124,,0.081,0.537,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.655,35.12,,-0.175,0.565,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.411,34.245,,0.116,0.59,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.791,34.418,,-2.074,0.611,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-115.799,33.416,,4.074,0.629,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.102,33.669,,4.762,0.642,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.789,34.777,,-1.425,0.675,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.893,34.808,,-1.755,0.681,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.701,34.042,,0.624,0.691,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-115.724,33.349,,0.025,0.73,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.405,34.941,,-0.85,0.765,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-115.951,33.542,,4.299,0.802,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.575,35.057,,-1.647,0.844,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.152,35.6,,-4.464,0.845,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.877,35.319,,0.609,0.857,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.312,34.895,,2.101,0.872,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.28,34.616,,-1.602,0.884,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.946,35.387,,0.8,0.885,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.48,34.688,,-5.093,0.956,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.685,34.749,,-0.701,0.982,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.081,35.531,,0.338,0.987,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.582,34.719,,-2.272,1.089,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.178,33.734,,4.005,1.11,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-118.379,34.652,,-1.176,1.137,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.724,36.981,,0.343,1.174,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.732,35.183,,0.602,1.22,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-115.877,33.475,,0.018,1.242,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.322,38.603,,-4.39,1.316,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.806,34.063,,1.089,1.413,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.53,38.817,,0.242,1.453,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.891,37.098,,-1.91,1.456,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.223,36.623,,11.006,1.55,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.384,36.748,,15.479,1.59,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-116.912,34.078,,2.02,1.637,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.694,34.378,,-1.187,1.673,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.471,36.802,,10.286,1.826,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.503,34.292,,-1.904,1.885,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.017,34.101,,-0.404,1.915,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.25,38.532,,1.216,2.051,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.557,36.862,,4.543,2.084,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.149,36.556,,23.446,2.106,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.013,35.461,,-0.593,2.139,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.975,37.16,,-4.693,2.182,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.462,38.743,,-8.131,2.212,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.596,38.892,,-1.14,2.282,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-119.805,35.25,,0.016,2.546,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.077,36.489,,22.461,2.733,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-122.715,37.951,,-1.183,2.809,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.041,38.319,,0.751,2.882,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-122.206,37.357,,-2.632,3.124,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.661,38.965,,-3.385,3.239,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-121.301,36.689,,7.194,3.438,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-123.392,38.673,,-8.293,3.702,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-122.651,37.877,,3.793,3.884,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-122.846,38.098,,9.042,5.003,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-117.597,34.339,,-5.121,5.177,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-122.342,37.5,,-3.671,5.213,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.453,33.407,,-0.659,0.26,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.217,33.222,,0.186,0.398,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.588,33.538,,0.709,0.569,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.516,33.473,,-1.115,0.675,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.215,34.001,,1.442,0.678,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.287,34.067,,0.61,0.69,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.296,33.282,,-2.118,0.745,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.371,33.346,,-0.184,0.806,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.056,33.099,,8.579,0.896,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.763,33.647,,1.189,1.053,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.952,33.753,,2.23,1.063,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.143,33.164,,2.212,1.18,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.602,34.311,,-0.308,1.204,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.679,33.594,,0.317,1.258,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.135,33.938,,-5.653,1.462,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.855,33.698,,0.806,1.565,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.004,33.033,,-1.629,1.614,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.424,34.198,,-0.316,2.192,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.518,34.253,,-0.875,2.281,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.358,34.135,,6.505,2.733,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-116.966,33.815,,-12.948,2.936,Int,SAR,2006,2010,3.5,23,,,No,No
San Jacinto,-117.055,33.877,,0.362,3.404,Int,SAR,2006,2010,3.5,23,,,No,No
Calaveras,-121.7139,37.3417,Grant Ranch,9.4,0.4,Int+ Aft,Geod,1977,1984,7.0,15,Yes,Yes,No,No
Calaveras,-121.4053,36.8496,C-SA Junct,6.4,0.2,Int+ Aft,AA,1979,1989,10.0,5,Yes,Yes,No,No
Calaveras,-121.4128,36.8496,C-SA Junct,12.2,0.2,Int+ Aft,AA,1979,1989,10.0,5,Yes,Yes,No,No
San Andreas,-120.2819,35.7243,C46 (Hwy 46),4.78,0.06,Int+ Aft,CM,2004.7,2020.7,16,17,maybe,,Yes,No
San Jacinto,-116.05,33.09,Coyote Creek (BW),5.2,3,Int+ Aft,AA,1971,1984,,12,Yes,Yes,No,No
San Andreas,-120.4217,35.885,Durham Ranch,13.3,,Int+ Aft,AA,2004,,,22,Yes,Yes,No,No
San Andreas,-120.7567,36.18,Mee Ranch,23,,Int+ Aft,AA,2004,,,22,Yes,Yes,Yes,No
San Andreas,-120.6283,36.065,Slack Canyon,23,,Int+ Aft,AA,2004,,,22,Yes,Yes,No,No
Calaveras,-121.4128,36.8699,Wright Rd,13,Undf.,Int+ Aft,CM,1971,1983,12.0,19,Yes,Yes,No,No
San Andreas,-116.156,33.715,Dillon road,2,1,Int+ Tran,AA,1970,1984,14.0,12,Yes,Yes,No,No
Imperial,-115.488,32.837,S80,5.4,Undf.,Int+ Tran,AA,1967,1978,,12,Yes,Yes,No,No
Rodgers Creek,-122.874368,38.654848,"A, Figure 2 / Table 1",-1.6,1.70,,SAR,2003,2010,7.0,6,,,Yes,Yes
